City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Beyneu,KZ,45.3167,55.2,35.74,69,100,21.99,overcast clouds
320,Garissa,KE,-0.4536,39.6401,77.25,70,55,6.69,broken clouds
321,Brazzaville,CG,-4.2658,15.2832,75.51,94,75,5.75,thunderstorm with light rain
322,Ashford,GB,51.1459,0.8728,49.53,90,100,17.47,overcast clouds
323,La Union,PE,-5.4,-80.75,74.12,68,61,15.26,broken clouds
324,Roblin,CA,51.23,-101.3565,-7.04,97,100,6.67,overcast clouds
325,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,100,11.41,overcast clouds
326,Mutoko,ZW,-17.397,32.2268,62.78,93,25,2.84,scattered clouds
327,Nola,IT,40.922,14.5329,48.92,60,86,1.99,overcast clouds
328,Yumen,CN,40.2833,97.2,15.01,35,79,9.51,broken clouds
329,Emba,KZ,48.8264,58.1442,19.35,81,99,11.25,overcast clouds
330,Cockburn Town,TC,21.4612,-71.1419,75.72,71,0,21.07,clear sky
331,Andilamena,MG,-17.0167,48.5833,63.05,94,100,3.87,overcast clouds
332,Berdigestyakh,RU,62.0989,126.6992,-18.35,95,99,5.68,overcast clouds
333,Muyezerskiy,RU,63.9333,31.65,-3.98,100,96,2.51,overcast clouds
334,Aracoiaba,BR,-4.3711,-38.8142,74.14,92,69,2.84,broken clouds
335,Salta,AR,-24.7859,-65.4117,72.19,78,75,3.44,broken clouds
336,Port Hardy,CA,50.6996,-127.4199,45.75,87,75,14.97,broken clouds
337,Banda Aceh,ID,5.5577,95.3222,81.25,73,63,8.57,broken clouds
338,Cutervo,PE,-6.379,-78.8157,52.45,83,100,1.25,overcast clouds
339,Ayagoz,KZ,47.9714,80.4392,-11.96,95,97,6.13,overcast clouds
340,Ferrol,ES,43.4832,-8.2369,54.36,86,100,7.4,overcast clouds
341,Colesberg,ZA,-30.72,25.0972,59.34,79,0,7.52,clear sky
342,Nenjiang,CN,49.1833,125.2167,-2.83,79,14,4.9,few clouds
343,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,66,0,8.99,clear sky
344,Umm Lajj,SA,25.0213,37.2685,68.34,48,0,18.41,clear sky
345,Srednekolymsk,RU,67.45,153.6833,-29.2,99,47,1.21,scattered clouds
346,Takhtamygda,RU,54.1,123.5667,-0.04,63,80,7.47,broken clouds
347,Haimen,CN,23.1935,116.6142,51.69,75,98,10.58,overcast clouds
