City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
192,Maningrida,AU,86.43,light rain,-12.0667,134.2667,Dhukurrdji Lodge
197,Ambulu,ID,82.94,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
198,Miandrivazo,MG,77.56,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
201,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
206,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
209,Cidreira,BR,75.99,broken clouds,-30.1811,-50.2056,Hotel Castelo
210,Carutapera,BR,76.12,overcast clouds,-1.195,-46.02,Lidera
212,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
215,Saint-Pierre,RE,78.44,moderate rain,-21.3393,55.4781,Lindsey Hôtel
218,Faanui,PF,81.23,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
219,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
230,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
238,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
245,Vangaindrano,MG,75.29,light rain,-23.35,47.6,Hotel Fanilo
252,Mazagao,BR,80.65,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
254,Puerto Carreno,CO,82.38,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
256,Innisfail,AU,79.95,overcast clouds,-17.5333,146.0333,Moondarra Motel
263,Piacabucu,BR,78.64,broken clouds,-10.4056,-36.4344,Piaçabuçu News
265,Kawalu,ID,82.81,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
271,Byron Bay,AU,78.75,broken clouds,-28.65,153.6167,Backpackers Inn
278,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Poutur Pousada
280,Piopio,NZ,88.43,clear sky,-38.4667,175.0167,Owls Nest Motel
282,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
294,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
297,Tecoanapa,MX,75.83,clear sky,16.5167,-98.75,Hotel Manglares
299,Koumac,NC,85.23,overcast clouds,-20.5667,164.2833,Le Monitel
301,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
303,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
306,Celestun,MX,78.24,clear sky,20.8667,-90.4,Posada Lilia
307,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
320,Garissa,KE,77.25,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
321,Brazzaville,CG,75.51,thunderstorm with light rain,-4.2658,15.2832,Hotel Muesse
330,Cockburn Town,TC,75.72,clear sky,21.4612,-71.1419,Osprey Beach Hotel
337,Banda Aceh,ID,81.25,broken clouds,5.5577,95.3222,Sulthan Hotel International
348,Soe,ID,78.78,overcast clouds,-9.8607,124.284,Dena Hotel
351,Trindade,BR,78.55,overcast clouds,-16.6494,-49.4889,Pousada Central
356,Kaeo,NZ,78.33,overcast clouds,-35.1,173.7833,Bushido Lodge
357,Katobu,ID,86.27,overcast clouds,-4.9408,122.5276,La Ode Husein
361,Sorong,ID,83.53,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
362,Kavaratti,IN,79.23,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
365,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
366,French Harbor,HN,80.6,clear sky,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
367,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
369,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
378,Vao,NC,75.33,light rain,-22.6667,167.4833,Hotel Kou-Bugny
379,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
394,Mareeba,AU,81.32,light rain,-17.0,145.4333,Trinity Plains Tourist Park
398,Japura,ID,79.02,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
412,Richards Bay,ZA,76.14,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
416,Biak,ID,83.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
418,Manggar,ID,83.98,scattered clouds,-2.8833,108.2667,Guest Hotel
422,Kudahuvadhoo,MV,80.98,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
423,Leticia,CO,78.85,scattered clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
424,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
